Pclass,Title,PassengerId,Survived,Sex,Age,Fare,Cabin,Embarked,FamilySize
3,0,1,0,0,1,0,3.200000047683716,0,0.4000000059604645
1,2,2,1,1,3,2,0.800000011920929,1,0.4000000059604645
3,1,3,1,1,1,0,3.200000047683716,0,0.800000011920929
1,2,4,1,1,2,2,0.800000011920929,0,0.4000000059604645
3,0,5,0,0,2,0,3.200000047683716,0,0.800000011920929
3,0,6,0,0,2,0,3.200000047683716,2,0.800000011920929
1,0,7,0,0,3,2,1.600000023841858,0,0.800000011920929
3,3,8,0,0,0,1,3.200000047683716,0,1.600000023841858
3,2,9,1,1,2,0,3.200000047683716,0,0.800000011920929
2,2,10,1,1,0,1,3.200000047683716,1,0.4000000059604645
3,1,11,1,1,0,0,2.4000000953674316,0,0.800000011920929
1,1,12,1,1,3,1,0.800000011920929,0,0.800000011920929
3,0,13,0,0,1,0,3.200000047683716,0,0.800000011920929
3,0,14,0,0,3,2,3.200000047683716,0,2.4000000953674316
3,1,15,0,1,0,0,3.200000047683716,0,0.800000011920929
2,2,16,1,1,3,0,3.200000047683716,0,0.800000011920929
3,3,17,0,0,0,1,3.200000047683716,2,0.800000011920929
2,0,18,1,0,2,0,3.200000047683716,0,0.800000011920929
3,2,19,0,1,2,1,3.200000047683716,0,0.4000000059604645
3,2,20,1,1,2,0,3.200000047683716,1,0.800000011920929
2,0,21,0,0,2,1,3.200000047683716,0,0.800000011920929
2,0,22,1,0,2,0,1.2000000476837158,0,0.800000011920929
3,1,23,1,1,0,0,3.200000047683716,2,0.800000011920929
1,0,24,1,0,2,2,3.200000047683716,0,0.800000011920929
3,1,25,0,1,0,1,3.200000047683716,0,1.600000023841858
3,2,26,1,1,3,2,3.200000047683716,0,2.4000000953674316
3,0,27,0,0,2,0,3.200000047683716,1,0.800000011920929
1,0,28,0,0,1,3,0.800000011920929,0,0.800000011920929
3,1,29,1,1,1,0,3.200000047683716,2,0.800000011920929
3,0,30,0,0,2,0,3.200000047683716,0,0.800000011920929
1,3,31,0,0,3,1,3.200000047683716,1,0.800000011920929
1,2,32,1,1,2,3,0.4000000059604645,1,0.4000000059604645
3,1,33,1,1,1,0,3.200000047683716,2,0.800000011920929
2,0,34,0,0,4,0,3.200000047683716,0,0.800000011920929
1,0,35,0,0,2,2,3.200000047683716,1,0.4000000059604645
1,0,36,0,0,3,2,3.200000047683716,0,0.4000000059604645
3,0,37,1,0,2,0,3.200000047683716,1,0.800000011920929
3,0,38,0,0,1,0,3.200000047683716,0,0.800000011920929
3,1,39,0,1,1,1,3.200000047683716,0,0.800000011920929
3,1,40,1,1,0,0,3.200000047683716,1,0.4000000059604645
3,2,41,0,1,3,0,3.200000047683716,0,0.4000000059604645
2,2,42,0,1,2,1,3.200000047683716,0,0.4000000059604645
3,0,43,0,0,2,0,3.200000047683716,1,0.800000011920929
2,1,44,1,1,0,2,3.200000047683716,1,1.2000000476837158
3,1,45,1,1,1,0,3.200000047683716,2,0.800000011920929
3,0,46,0,0,2,0,3.200000047683716,0,0.800000011920929
3,0,47,0,0,2,0,3.200000047683716,2,0.4000000059604645
3,1,48,1,1,1,0,3.200000047683716,2,0.800000011920929
3,0,49,0,0,2,1,3.200000047683716,1,0.800000011920929
3,2,50,0,1,1,0,3.200000047683716,0,0.4000000059604645
3,3,51,0,0,0,2,3.200000047683716,0,0.800000011920929
3,0,52,0,0,1,0,3.200000047683716,0,0.800000011920929
1,2,53,1,1,3,2,1.2000000476837158,1,0.4000000059604645
2,2,54,1,1,2,1,3.200000047683716,0,0.4000000059604645
1,0,55,0,0,4,2,0.4000000059604645,1,0.4000000059604645
1,0,56,1,0,2,2,0.800000011920929,0,0.800000011920929
2,1,57,1,1,1,0,3.200000047683716,0,0.800000011920929
3,0,58,0,0,2,0,3.200000047683716,1,0.800000011920929
2,1,59,1,1,0,1,3.200000047683716,0,1.2000000476837158
3,3,60,0,0,0,2,3.200000047683716,0,2.799999952316284
3,0,61,0,0,1,0,3.200000047683716,1,0.800000011920929
1,1,62,1,1,3,2,0.4000000059604645,0,0.800000011920929
1,0,63,0,0,3,2,0.800000011920929,0,0.4000000059604645
3,3,64,0,0,0,1,3.200000047683716,0,0.800000011920929
1,0,65,0,0,2,1,3.200000047683716,1,0.800000011920929
3,3,66,1,0,0,0,3.200000047683716,1,0.800000011920929
2,2,67,1,1,2,0,3.200000047683716,0,0.800000011920929
3,0,68,0,0,1,0,3.200000047683716,0,0.800000011920929
3,1,69,1,1,1,0,3.200000047683716,0,2.4000000953674316
3,0,70,0,0,1,0,3.200000047683716,0,0.800000011920929
2,0,71,0,0,2,0,3.200000047683716,0,0.800000011920929
3,1,72,0,1,0,2,3.200000047683716,0,2.799999952316284
2,0,73,0,0,1,2,3.200000047683716,0,0.800000011920929
3,0,74,0,0,1,0,3.200000047683716,1,0.4000000059604645
3,0,75,1,0,2,2,3.200000047683716,0,0.800000011920929
3,0,76,0,0,1,0,3.200000047683716,0,0.800000011920929
3,0,77,0,0,2,0,3.200000047683716,0,0.800000011920929
3,0,78,0,0,2,0,3.200000047683716,0,0.800000011920929
2,3,79,1,0,0,1,3.200000047683716,0,0.800000011920929
3,1,80,1,1,2,0,3.200000047683716,0,0.800000011920929
3,0,81,0,0,1,0,3.200000047683716,0,0.800000011920929
3,0,82,1,0,2,0,3.200000047683716,0,0.800000011920929
3,1,83,1,1,1,0,3.200000047683716,2,0.800000011920929
1,0,84,0,0,2,2,3.200000047683716,0,0.800000011920929
2,1,85,1,1,1,0,3.200000047683716,0,0.800000011920929
3,2,86,1,1,2,0,3.200000047683716,0,1.2000000476837158
3,0,87,0,0,0,2,3.200000047683716,0,1.600000023841858
3,0,88,0,0,2,0,3.200000047683716,0,0.800000011920929
1,1,89,1,1,1,3,0.800000011920929,0,0.800000011920929
3,0,90,0,0,1,0,3.200000047683716,0,0.800000011920929
3,0,91,0,0,2,0,3.200000047683716,0,0.800000011920929
3,0,92,0,0,1,0,3.200000047683716,0,0.800000011920929
1,0,93,0,0,3,2,1.600000023841858,0,0.4000000059604645
3,0,94,0,0,1,1,3.200000047683716,0,1.2000000476837158
3,0,95,0,0,3,0,3.200000047683716,0,0.800000011920929
3,0,96,0,0,2,0,3.200000047683716,0,0.800000011920929
1,0,97,0,0,4,2,3.200000047683716,1,0.800000011920929
1,0,98,1,0,1,2,1.2000000476837158,1,0.4000000059604645
2,2,99,1,1,2,1,3.200000047683716,0,0.4000000059604645
2,0,100,0,0,2,1,3.200000047683716,0,0.4000000059604645
3,1,101,0,1,2,0,3.200000047683716,0,0.800000011920929
3,0,102,0,0,2,0,3.200000047683716,0,0.800000011920929
1,0,103,0,0,1,2,1.2000000476837158,0,0.4000000059604645
3,0,104,0,0,2,0,3.200000047683716,0,0.800000011920929
3,0,105,0,0,3,0,3.200000047683716,0,0.800000011920929
3,0,106,0,0,2,0,3.200000047683716,0,0.800000011920929
3,1,107,1,1,1,0,3.200000047683716,0,0.800000011920929
3,0,108,1,0,2,0,3.200000047683716,0,0.800000011920929
3,0,109,0,0,3,0,3.200000047683716,0,0.800000011920929
3,1,110,1,1,1,1,3.200000047683716,2,0.4000000059604645
1,0,111,0,0,3,2,0.800000011920929,0,0.800000011920929
3,1,112,0,1,0,0,3.200000047683716,1,0.4000000059604645
3,0,113,0,0,1,0,3.200000047683716,0,0.800000011920929
3,1,114,0,1,1,0,3.200000047683716,0,0.4000000059604645
3,1,115,0,1,1,0,3.200000047683716,1,0.800000011920929
3,0,116,0,0,1,0,3.200000047683716,0,0.800000011920929
3,0,117,0,0,4,0,3.200000047683716,2,0.800000011920929
2,0,118,0,0,2,1,3.200000047683716,0,0.4000000059604645
1,0,119,0,0,1,3,0.4000000059604645,1,0.4000000059604645
3,1,120,0,1,0,2,3.200000047683716,0,2.4000000953674316
2,0,121,0,0,1,2,3.200000047683716,0,0.800000011920929
3,0,122,0,0,2,0,3.200000047683716,0,0.800000011920929
2,0,123,0,0,2,1,3.200000047683716,1,0.4000000059604645
2,1,124,1,1,2,0,1.600000023841858,0,0.800000011920929
1,0,125,0,0,3,2,1.2000000476837158,0,0.4000000059604645
3,3,126,1,0,0,0,3.200000047683716,1,0.4000000059604645
3,0,127,0,0,2,0,3.200000047683716,2,0.800000011920929
3,0,128,1,0,1,0,3.200000047683716,0,0.800000011920929
3,1,129,1,1,1,1,3.200000047683716,1,0.800000011920929
3,0,130,0,0,3,0,3.200000047683716,0,0.800000011920929
3,0,131,0,0,2,0,3.200000047683716,1,0.800000011920929
3,0,132,0,0,1,0,3.200000047683716,0,0.800000011920929
3,2,133,0,1,3,0,3.200000047683716,0,0.4000000059604645
2,2,134,1,1,2,1,3.200000047683716,0,0.4000000059604645
2,0,135,0,0,1,0,3.200000047683716,0,0.800000011920929
2,0,136,0,0,1,0,3.200000047683716,1,0.800000011920929
1,1,137,1,1,1,1,1.2000000476837158,0,0.800000011920929
1,0,138,0,0,3,2,0.800000011920929,0,0.4000000059604645
3,0,139,0,0,0,0,3.200000047683716,0,0.800000011920929
1,0,140,0,0,1,2,0.4000000059604645,1,0.800000011920929
3,2,141,0,1,2,0,3.200000047683716,1,0.800000011920929
3,1,142,1,1,1,0,3.200000047683716,0,0.800000011920929
3,2,143,1,1,1,0,3.200000047683716,0,0.4000000059604645
3,0,144,0,0,1,0,3.200000047683716,2,0.800000011920929
2,0,145,0,0,1,0,3.200000047683716,0,0.800000011920929
2,0,146,0,0,1,2,3.200000047683716,0,0.800000011920929
3,0,147,1,0,2,0,3.200000047683716,0,0.800000011920929
3,1,148,0,1,0,2,3.200000047683716,0,1.600000023841858
2,0,149,0,0,2,1,3.200000047683716,0,0.800000011920929
2,3,150,0,0,3,0,3.200000047683716,0,0.800000011920929
2,3,151,0,0,3,0,3.200000047683716,0,0.800000011920929
1,2,152,1,1,1,2,0.800000011920929,0,0.4000000059604645
3,0,153,0,0,3,0,3.200000047683716,0,0.800000011920929
3,0,154,0,0,3,0,3.200000047683716,0,0.800000011920929
3,0,155,0,0,2,0,3.200000047683716,0,0.800000011920929
1,0,156,0,0,3,2,3.200000047683716,1,0.4000000059604645
3,1,157,1,1,0,0,3.200000047683716,2,0.800000011920929
3,0,158,0,0,2,0,3.200000047683716,0,0.800000011920929
3,0,159,0,0,2,0,3.200000047683716,0,0.800000011920929
3,3,160,0,0,0,2,3.200000047683716,0,0.800000011920929
3,0,161,0,0,3,0,3.200000047683716,0,0.4000000059604645
2,2,162,1,1,3,0,3.200000047683716,0,0.800000011920929
3,0,163,0,0,1,0,3.200000047683716,0,0.800000011920929
3,0,164,0,0,1,0,3.200000047683716,0,0.800000011920929
3,3,165,0,0,0,2,3.200000047683716,0,0.800000011920929
3,3,166,1,0,0,1,3.200000047683716,0,0.800000011920929
1,2,167,1,1,2,2,1.600000023841858,0,0.4000000059604645
3,2,168,0,1,3,1,3.200000047683716,0,0.800000011920929
1,0,169,0,0,2,1,3.200000047683716,0,0.800000011920929
3,0,170,0,0,2,2,3.200000047683716,0,0.800000011920929
1,0,171,0,0,3,2,0.4000000059604645,0,0.800000011920929
3,3,172,0,0,0,1,3.200000047683716,2,0.800000011920929
3,1,173,1,1,0,0,3.200000047683716,0,0.800000011920929
3,0,174,0,0,1,0,3.200000047683716,0,0.800000011920929
1,0,175,0,0,3,1,3.200000047683716,1,0.800000011920929
3,0,176,0,0,1,0,3.200000047683716,0,0.800000011920929
3,3,177,0,0,0,1,3.200000047683716,0,1.600000023841858
1,1,178,0,1,3,1,0.800000011920929,1,0.800000011920929
2,0,179,0,0,2,0,3.200000047683716,0,0.800000011920929
3,0,180,0,0,2,0,3.200000047683716,0,0.800000011920929
3,1,181,0,1,1,2,3.200000047683716,0,0.800000011920929
2,0,182,0,0,2,0,3.200000047683716,1,0.800000011920929
3,3,183,0,0,0,2,3.200000047683716,0,2.4000000953674316
2,3,184,1,0,0,2,3.200000047683716,0,1.2000000476837158
3,1,185,1,1,0,1,3.200000047683716,0,0.800000011920929
1,0,186,0,0,2,2,3.200000047683716,0,0.800000011920929
3,2,187,1,1,2,0,3.200000047683716,2,0.4000000059604645
1,0,188,1,0,3,1,3.200000047683716,0,0.800000011920929
3,0,189,0,0,3,0,3.200000047683716,2,0.800000011920929
3,0,190,0,0,2,0,3.200000047683716,0,0.800000011920929
2,2,191,1,1,2,0,3.200000047683716,0,0.800000011920929
2,0,192,0,0,1,0,3.200000047683716,0,0.800000011920929
3,1,193,1,1,1,0,3.200000047683716,0,0.4000000059604645
2,3,194,1,0,0,1,3.200000047683716,0,0.800000011920929
1,2,195,1,1,3,1,0.4000000059604645,1,0.800000011920929
1,1,196,1,1,3,3,0.4000000059604645,1,0.800000011920929
3,0,197,0,0,2,0,3.200000047683716,2,0.800000011920929
3,0,198,0,0,3,0,3.200000047683716,0,0.4000000059604645
3,1,199,1,1,1,0,3.200000047683716,2,0.800000011920929
2,1,200,0,1,1,0,3.200000047683716,0,0.800000011920929
3,0,201,0,0,2,0,3.200000047683716,0,0.800000011920929
3,0,202,0,0,2,2,3.200000047683716,0,0.800000011920929
3,0,203,0,0,2,0,3.200000047683716,0,0.800000011920929
3,0,204,0,0,3,0,3.200000047683716,1,0.800000011920929
3,0,205,1,0,1,0,3.200000047683716,0,0.800000011920929
3,1,206,0,1,0,0,2.4000000953674316,0,0.4000000059604645
3,0,207,0,0,2,0,3.200000047683716,0,0.4000000059604645
3,0,208,1,0,1,1,3.200000047683716,1,0.800000011920929
3,1,209,1,1,0,0,3.200000047683716,2,0.800000011920929
1,0,210,1,0,3,2,3.200000047683716,1,0.800000011920929
3,0,211,0,0,1,0,3.200000047683716,0,0.800000011920929
2,1,212,1,1,2,1,3.200000047683716,0,0.800000011920929
3,0,213,0,0,1,0,3.200000047683716,0,0.800000011920929
2,0,214,0,0,2,0,3.200000047683716,0,0.800000011920929
3,0,215,0,0,2,0,3.200000047683716,2,0.4000000059604645
1,1,216,1,1,2,3,1.2000000476837158,1,0.4000000059604645
3,1,217,1,1,2,0,3.200000047683716,0,0.800000011920929
2,0,218,0,0,3,1,3.200000047683716,0,0.4000000059604645
1,1,219,1,1,2,2,1.2000000476837158,1,0.800000011920929
2,0,220,0,0,2,0,3.200000047683716,0,0.800000011920929
3,0,221,1,0,0,0,3.200000047683716,0,0.800000011920929
2,0,222,0,0,2,0,3.200000047683716,0,0.800000011920929
3,0,223,0,0,3,0,3.200000047683716,0,0.800000011920929
3,0,224,0,0,2,0,3.200000047683716,0,0.800000011920929
1,0,225,1,0,3,2,0.800000011920929,0,0.4000000059604645
3,0,226,0,0,1,0,3.200000047683716,0,0.800000011920929
2,0,227,1,0,1,0,3.200000047683716,0,0.800000011920929
3,0,228,0,0,1,0,3.200000047683716,0,0.800000011920929
2,0,229,0,0,1,0,3.200000047683716,0,0.800000011920929
3,1,230,0,1,1,1,3.200000047683716,0,1.600000023841858
1,2,231,1,1,2,2,0.800000011920929,0,0.4000000059604645
3,0,232,0,0,2,0,3.200000047683716,0,0.800000011920929
2,0,233,0,0,3,0,3.200000047683716,0,0.800000011920929
3,1,234,1,1,0,2,3.200000047683716,0,2.4000000953674316
2,0,235,0,0,1,0,3.200000047683716,0,0.800000011920929
3,1,236,0,1,1,0,3.200000047683716,0,0.800000011920929
2,0,237,0,0,3,1,3.200000047683716,0,0.4000000059604645
2,1,238,1,1,0,1,3.200000047683716,0,0.800000011920929
2,0,239,0,0,1,0,3.200000047683716,0,0.800000011920929
2,0,240,0,0,2,0,3.200000047683716,0,0.800000011920929
3,1,241,0,1,1,0,3.200000047683716,1,0.4000000059604645
3,1,242,1,1,1,0,3.200000047683716,2,0.4000000059604645
2,0,243,0,0,2,0,3.200000047683716,0,0.800000011920929
3,0,244,0,0,1,0,3.200000047683716,0,0.800000011920929
3,0,245,0,0,2,0,3.200000047683716,1,0.800000011920929
1,3,246,0,0,3,2,0.800000011920929,2,0.800000011920929
3,1,247,0,1,1,0,3.200000047683716,0,0.800000011920929
2,2,248,1,1,1,0,3.200000047683716,0,0.800000011920929
1,0,249,1,0,3,2,1.2000000476837158,0,0.800000011920929
2,3,250,0,0,3,1,3.200000047683716,0,0.4000000059604645
3,0,251,0,0,2,0,3.200000047683716,0,0.800000011920929
3,2,252,0,1,2,0,2.4000000953674316,0,0.800000011920929
1,0,253,0,0,3,1,0.800000011920929,0,0.800000011920929
3,0,254,0,0,2,0,3.200000047683716,0,0.4000000059604645
3,2,255,0,1,3,1,3.200000047683716,0,0.800000011920929
3,2,256,1,1,2,0,3.200000047683716,1,0.800000011920929
1,2,257,1,1,2,2,3.200000047683716,1,0.800000011920929
1,1,258,1,1,2,2,0.4000000059604645,0,0.800000011920929
1,1,259,1,1,2,3,3.200000047683716,1,0.800000011920929
2,2,260,1,1,3,1,3.200000047683716,0,0.4000000059604645
3,0,261,0,0,2,0,3.200000047683716,2,0.800000011920929
3,3,262,1,0,0,2,3.200000047683716,0,2.4000000953674316
1,0,263,0,0,3,2,1.600000023841858,0,0.800000011920929
1,0,264,0,0,3,0,0.4000000059604645,0,0.800000011920929
3,1,265,0,1,1,0,3.200000047683716,2,0.800000011920929
2,0,266,0,0,2,0,3.200000047683716,0,0.800000011920929
3,0,267,0,0,0,2,3.200000047683716,0,0.800000011920929
3,0,268,1,0,1,0,3.200000047683716,0,0.4000000059604645
1,2,269,1,1,3,3,0.800000011920929,0,0.4000000059604645
1,1,270,1,1,2,3,0.800000011920929,0,0.800000011920929
1,0,271,0,0,2,2,3.200000047683716,0,0.800000011920929
3,0,272,1,0,1,0,3.200000047683716,0,0.800000011920929
2,2,273,1,1,3,1,3.200000047683716,0,0.4000000059604645
1,0,274,0,0,3,1,0.800000011920929,1,0.4000000059604645
3,1,275,1,1,1,0,3.200000047683716,2,0.800000011920929
1,1,276,1,1,4,2,1.2000000476837158,0,0.4000000059604645
3,1,277,0,1,3,0,3.200000047683716,0,0.800000011920929
2,0,278,0,0,2,0,3.200000047683716,0,0.800000011920929
3,3,279,0,0,0,1,3.200000047683716,2,0.800000011920929
3,2,280,1,1,2,1,3.200000047683716,0,0.800000011920929
3,0,281,0,0,4,0,3.200000047683716,2,0.800000011920929
3,0,282,0,0,2,0,3.200000047683716,0,0.800000011920929
3,0,283,0,0,0,0,3.200000047683716,0,0.800000011920929
3,0,284,1,0,1,0,3.200000047683716,0,0.800000011920929
1,0,285,0,0,2,1,3.200000047683716,0,0.800000011920929
3,0,286,0,0,2,0,3.200000047683716,1,0.800000011920929
3,0,287,1,0,2,0,3.200000047683716,0,0.800000011920929
3,0,288,0,0,1,0,3.200000047683716,0,0.800000011920929
2,0,289,1,0,3,0,3.200000047683716,0,0.800000011920929
3,1,290,1,1,1,0,3.200000047683716,2,0.800000011920929
1,1,291,1,1,1,2,3.200000047683716,0,0.800000011920929
1,2,292,1,1,1,2,0.4000000059604645,1,0.4000000059604645
2,0,293,0,0,2,0,1.2000000476837158,1,0.800000011920929
3,1,294,0,1,1,0,3.200000047683716,0,0.800000011920929
3,0,295,0,0,1,0,3.200000047683716,0,0.800000011920929
1,0,296,0,0,2,1,3.200000047683716,1,0.800000011920929
3,0,297,0,0,1,0,3.200000047683716,1,0.800000011920929
